ID,Dataset,Direction,Train,Avg_Speed,Component,Num_Trip,Engine_Status,Accel_Path,Vel_Path,Scores_Path,UnifiedScore_Path,is_ABU-B_enabled,is_ABU-A_enabled,N_acc,N_vel,N_discrepance,Reference_Bearing,Bearing_Columns,Weldings,Wheel_Fault,N_Shifts,S_Shifts
a5ae6ba4-21b2-4ef3-bb92-5058eec123be,Estratto_Rettilineo_AR,Ritorno,005,A,X,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_X_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_X_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_X_A2_005.txt,False,False,145457,145457,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[16127, 33261, 50484, 67568, 84577, 101505, 118243, 134458]",True,"[-480,35647,-79,0]","[-1417,758,-110,0]"
c30efacd-5225-4fc1-9f53-4fe621bded8d,Estratto_Rettilineo_AR,Ritorno,005,A,X,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_X_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_X_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_X_A1_005.txt,False,False,145577,145577,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1466, 16234, 30781, 45682, 62490, 79697, 96465, 113625, 130672]",False,"[-3721,-3528,-78,0]","[-16,-4021,76,0]"
0533457e-537c-4bba-b12a-4694557aba71,Estratto_Rettilineo_AR,Ritorno,005,A,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_Y_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_Y_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_Y_A1_005.txt,False,False,145577,145577,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1466, 16234, 30781, 45682, 62490, 79697, 96465, 113625, 130672]",False,"[124,-3526,-1267,0]","[-3660,-3527,-25,0]"
472d1367-60bd-46a4-a3b3-3df3841643c0,Estratto_Rettilineo_AR,Ritorno,005,A,Y,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_Y_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_Y_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_Y_A2_005.txt,False,False,145457,145457,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[16127, 33261, 50484, 67568, 84577, 101505, 118243, 134458]",True,"[-4658,-13934,-30,0]","[603,-5095,-26,0]"
67ab36de-72f1-414c-9a09-105bed90d22d,Estratto_Rettilineo_AR,Ritorno,005,A,Z,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_Z_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_Z_A1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_Z_A1_005.txt,False,False,145577,145577,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1466, 16234, 30781, 45682, 62490, 79697, 96465, 113625, 130672]",False,"[-3703,-3560,127,0]","[-4734,-9227,93,0]"
c65024eb-97bb-474a-9be4-382e31157479,Estratto_Rettilineo_AR,Ritorno,005,A,Z,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Rettilineo_Z_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_A2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/Scores_Z_A2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/A/UnifiedScore_Z_A2_005.txt,False,False,145457,145457,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[16127, 33261, 50484, 67568, 84577, 101505, 118243, 134458]",True,"[-5101,-10009,126,0]","[-11014,-4000,124,0]"
7e1b4164-f860-4b3a-899f-5ee0dd95cbc8,Estratto_Rettilineo_AR,Ritorno,005,C,X,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_X_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_X_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_X_C2_005.txt,False,False,48683,48683,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[71, 5836, 11449, 17172, 22830, 28568, 34288, 40025, 45710]",False,"[-1588,-1169,-420,0]","[-1588,-1168,-419,0]"
52468429-2a5a-41b3-8e72-83dcd359278f,Estratto_Rettilineo_AR,Ritorno,005,C,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_Y_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_Y_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_Y_C1_005.txt,False,False,48802,48802,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1633, 7400, 13000, 18724, 24412, 30094, 35782, 41531, 47209]",False,"[-1586,-1166,-418,0]","[-1586,-1168,-419,0]"
d246677b-3eba-4439-bf8b-aaffc423442b,Estratto_Rettilineo_AR,Ritorno,005,C,Z,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_Z_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_Z_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_Z_C2_005.txt,False,False,48683,48683,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[71, 5836, 11449, 17172, 22830, 28568, 34288, 40025, 45710]",False,"[-1589,-1169,-420,0]","[-1589,-1168,-419,0]"
142577fd-dfe2-49a3-b5b9-8ddc22eaa8d1,Estratto_Rettilineo_AR,Ritorno,005,C,Z,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_Z_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_Z_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_Z_C1_005.txt,False,False,48802,48802,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1633, 7400, 13000, 18724, 24412, 30094, 35782, 41531, 47209]",False,"[-1586,-1167,-419,0]","[-1587,-1168,-419,0]"
