,UUID,Train,Direction,Speed,Num_Trip,Component,Side,Sensor,Cluster Centroids,PD,ED,PFA
0,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,0,"[4706, 5556, 7145, 17928, 19326, 20867, 24369, 24489, 24558, 28605, 30605, 32501, 40254, 43410, 52529, 55517, 55729, 67774, 74112, 79483, 86780, 90498, 93295, 101657, 104610, 110047, 117313, 124640, 126948, 132144, 142687]",0.625,0.25,0.7741935483870968
1,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,1,"[3308, 3592, 4046, 11199, 14079, 16392, 16748, 19002, 19386, 20742, 22125, 23567, 28967, 32101, 33380, 37022, 40049, 40682, 40800, 42644, 46035, 47372, 48660, 52232, 52619, 54036, 55784, 56934, 58392, 62530, 67745, 69093, 71499, 74835, 76261, 80245, 84136, 88299, 89751, 92569, 93331, 96281, 96647, 101798, 104576, 107452, 110664, 111239, 114274, 115512, 116785, 117208, 118069, 122108, 127780, 128354, 130497, 131802, 133064, 135525, 136752, 138002, 139278, 143270, 147496]",0.5,0.5,0.8769230769230769
2,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,2,"[1548, 1688, 1898, 4835, 6323, 9260, 12082, 13469, 14766, 18754, 19232, 23117, 24567, 25523, 28800, 28891, 30094, 31413, 33262, 36413, 37942, 38394, 40420, 46661, 48678, 52550, 54986, 55872, 67143, 68380, 69979, 76970, 78284, 81795, 82166, 84917, 93256, 95930, 98493, 104028, 108275, 110566, 112255, 113525, 117033, 117409, 120154, 121585, 123011, 124389, 125763, 126923, 129564, 132080, 132268, 133678, 138519, 139961, 142747, 145503]",0.625,0.375,0.8666666666666667
3,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,3,"[2015, 4326, 4828, 6296, 7288, 8720, 11540, 11742, 13335, 16827, 17665, 22579, 23100, 24770, 25529, 25627, 28627, 28729, 30360, 32139, 36489, 36839, 36893, 40133, 40414, 46831, 48406, 48624, 52642, 53508, 55863, 58734, 62586, 63817, 67049, 71313, 72495, 74138, 76131, 77147, 84359, 86595, 86849, 91857, 93169, 95744, 96572, 102070, 102260, 102545, 106315, 107712, 108166, 109239, 110055, 115632, 115938, 116995, 117549, 119803, 121848, 121909, 122936, 126858, 127849, 128158, 131616, 131902, 138185, 139848, 142650, 143202]",0.875,0.5,0.8472222222222222
4,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,0,"[4695, 4997, 16118, 20711, 20887, 21159, 25498, 26931, 29916, 44011, 55231, 72323, 75058, 76659, 76841, 85057, 85191, 89387, 100636, 106337, 109591, 113436, 123099, 124880, 127770, 139591, 145413, 147817]",0.875,0.125,0.7142857142857143
5,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,1,"[3294, 3600, 4074, 5421, 11177, 14067, 16766, 18060, 19377, 20736, 25060, 29398, 34707, 36075, 37447, 40333, 41798, 43241, 44654, 46045, 51277, 54012, 56933, 58379, 59804, 61190, 62553, 63840, 69080, 70500, 71923, 73373, 74824, 77608, 78958, 81531, 84133, 85473, 86857, 88289, 89729, 91174, 97922, 101764, 104570, 114257, 118077, 119373, 122126, 124984, 126363, 127783, 129150, 130483, 131792, 133066, 137996, 139286, 139513, 141940, 144705, 147485]",0.375,0.25,0.9193548387096774
6,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,2,"[1656, 2121, 3045, 3483, 4426, 5849, 6315, 8797, 9237, 11674, 13054, 14369, 16090, 21173, 24589, 27012, 29709, 30091, 32306, 32730, 35466, 39877, 40835, 41300, 43630, 44049, 46256, 46667, 47546, 47979, 48870, 50665, 53519, 55962, 56431, 57834, 62725, 63984, 67129, 69509, 72425, 73838, 74258, 75647, 76579, 76943, 78248, 79534, 80842, 81728, 82140, 85878, 90182, 90625, 94258, 94657, 95924, 97200, 99407, 100757, 102149, 102599, 105470, 106452, 108280, 109211, 109598, 111847, 115667, 117418, 118331, 118766, 119712, 121588, 122569, 123957, 128065, 130678, 131904, 132283, 133112, 134328, 139392, 139531, 140920, 142745, 143687, 144122]",0.5,0.375,0.9204545454545454
7,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,3,"[2306, 4941, 7779, 7883, 9900, 10776, 12088, 13716, 15923, 19833, 20712, 21129, 21214, 21503, 21767, 25699, 28677, 29486, 29702, 31367, 32130, 39931, 40004, 40090, 40374, 42166, 47378, 49334, 51582, 52151, 54924, 56972, 57750, 62492, 63796, 63851, 68603, 70068, 72371, 72468, 74068, 76203, 76322, 76504, 81471, 83514, 86598, 87003, 88040, 89126, 91889, 93136, 95834, 95895, 95973, 99205, 101774, 102664, 104095, 106433, 110026, 113038, 118033, 120201, 123154, 124859, 126795, 130915, 135181, 136494, 139282, 141855, 142745, 143152]",0.875,0.75,0.8243243243243243
8,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,0,"[4703, 10212, 21158, 25160, 28447, 37173, 43315, 43422, 47954, 51095, 54432, 59714, 69199, 72205, 85689, 88393, 91399, 105131, 111139, 112535, 113091, 115325, 118715, 122283, 127494, 127776, 129230, 139449]",0.7777777777777778,0.2222222222222222,0.6785714285714286
9,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,1,"[3289, 3593, 4087, 4551, 5503, 8310, 16329, 18703, 19812, 20881, 22954, 24734, 24827, 28235, 32597, 37008, 37304, 37506, 37902, 42619, 44173, 46664, 49270, 50613, 54376, 60272, 62987, 64325, 65622, 77849, 79213, 81995, 84747, 88381, 91181, 91603, 92966, 94303, 96944, 97901, 99601, 102260, 104983, 105117, 109129, 117383, 123658, 125676, 127778, 129579, 136604, 139371, 140685, 147500]",0.5555555555555556,0.3333333333333333,0.8518518518518519
10,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,2,"[1567, 1997, 4853, 5826, 7632, 9017, 10384, 11686, 12988, 14209, 15412, 17677, 19787, 24263, 28789, 30298, 33718, 33804, 36605, 37516, 42050, 48530, 50364, 51061, 51297, 54382, 56804, 58175, 60855, 64812, 65983, 68830, 70205, 75717, 79877, 85391, 85637, 86772, 88319, 93529, 96161, 97488, 98801, 101491, 102862, 105072, 105499, 108413, 111167, 112468, 112567, 113915, 115292, 118033, 122172, 124938, 127532, 127674, 129055, 129149, 129506, 131764, 133110, 135840, 138564, 141192, 141295, 144028, 145383, 146746]",0.5555555555555556,0.4444444444444444,0.8714285714285714
11,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,3,"[4208, 4446, 4552, 9996, 13644, 13764, 16072, 17984, 18030, 18194, 23915, 27202, 27333, 28510, 29760, 30038, 30095, 34330, 36336, 47720, 47789, 47839, 50638, 51014, 55091, 56807, 62659, 62810, 63137, 67205, 67328, 72599, 76759, 79214, 79784, 81971, 85596, 87286, 88276, 91538, 91986, 93079, 96619, 96665, 98299, 98390, 103918, 105066, 105463, 111037, 112446, 112999, 117200, 119408, 119978, 123585, 124926, 127374, 127512, 127702, 129064, 129475, 131860, 132289, 134051, 134097, 139281]",0.4444444444444444,0.2222222222222222,0.9104477611940298
12,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,S,0,"[4714, 5022, 5329, 11447, 11567, 18460, 22334, 22629, 28786, 31132, 35652, 43489, 43585, 49238, 50601, 55464, 67576, 76239, 81805, 90053, 91463, 95996, 101462, 106945, 108366, 111165, 118606, 120247, 123423, 127231, 128889, 135642, 137862, 143883]",0.6666666666666666,0.0,0.8235294117647058
