,UUID,Train,Direction,Speed,Num_Trip,Component,Side,Sensor,Cluster Centroids,PD,ED,PFA,Error_X,Detection_Range,Epsilon,Min_Samples_Cluster,Cluster_Metrics
0,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,N,0,"[4740, 5088, 5214, 5310, 5376, 5594, 5770, 7131, 8984, 9049, 9257, 10025, 10946, 11230, 14146, 14252, 14895, 15887, 16676, 16897, 16954, 17932, 18242, 18323, 19174, 19334, 20868, 20956, 21080, 21479, 22711, 22952, 23398, 24371, 24525, 25324, 25482, 27318, 28223, 28414, 28607, 28752, 28927, 29096, 30621, 32230, 32361, 32512, 33811, 35935, 36426, 36570, 36814, 37490, 37849, 38902, 40240, 40717, 40775, 43305, 43412, 44025, 44558, 44853, 46922, 47242, 47533, 47590, 48207, 48355, 48445, 48517, 48766, 48916, 49783, 52544, 52747, 52917, 55333, 55521, 55736, 58636, 58750, 59117, 59259, 59674, 59978, 60079, 61796, 62787, 62911, 62978, 63203, 63763, 64039, 64257, 64542, 64994, 65067, 65357, 67240, 67484, 67710, 67878, 68046, 68212, 68442, 70159, 70879, 71191, 72382, 73010, 74127, 75957, 76415, 77337, 77489, 79484, 79731, 80234, 81555, 81889, 82813, 84662, 84731, 85074, 86558, 86657, 86783, 87814, 90512, 90680, 91214, 93137, 93287, 95183, 96122, 96347, 96888, 97880, 98082, 98198, 100602, 100648, 101164, 101664, 101939, 103062, 104618, 106301, 106520, 107085, 107222, 107477, 108021, 108704, 108851, 109095, 110079, 110234, 110679, 112090, 115561, 115767, 116001, 116633, 116957, 117305, 117835, 119921, 121864, 123571, 123683, 124361, 124638, 124738, 125135, 125776, 126989, 128388, 129763, 131690, 132155, 132402, 133767, 134122, 135740, 136271, 136693, 136799, 136929, 138501, 138739, 139723, 140054, 140838, 141012, 142254, 142719, 143277, 146540, 146922, 147338, 147730, 148949, 149043, 149153, 150088]",0.75,0.5,0.9519230769230769,1.0,0.3,15.0,20.0,cityblock
1,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,N,1,"[3556, 4045, 5028, 5413, 6785, 8237, 11196, 12246, 12661, 13660, 14054, 16385, 16742, 17692, 18067, 19039, 19238, 19384, 20335, 20721, 22125, 23137, 23560, 24583, 26549, 27567, 28968, 29397, 30625, 30775, 31722, 32099, 32445, 33375, 34712, 35629, 36421, 37023, 40063, 40272, 40492, 40681, 40817, 41197, 41824, 42645, 43094, 43258, 44677, 44865, 46026, 46995, 47150, 47365, 47501, 48290, 48651, 48842, 49568, 49954, 51283, 52226, 52509, 53629, 54031, 55036, 55472, 55778, 56925, 58264, 58380, 58679, 58777, 59409, 59823, 60042, 60220, 61201, 61621, 61778, 62163, 62536, 62914, 63850, 64742, 65122, 66422, 67344, 67744, 68149, 68396, 69085, 69800, 70089, 70497, 70912, 71501, 71933, 72429, 73277, 73381, 74418, 74823, 75834, 76256, 77395, 77634, 78967, 79398, 79899, 80143, 80255, 81531, 82817, 84135, 84582, 85447, 86417, 86545, 86809, 88292, 89739, 90564, 90734, 91177, 91919, 92181, 92502, 92582, 93333, 96269, 96646, 97023, 97541, 97921, 99191, 100105, 100487, 101423, 101790, 102773, 103174, 104154, 104574, 106010, 107030, 107280, 107440, 108436, 108858, 110666, 111236, 111629, 112967, 113378, 113883, 114256, 115505, 116416, 116764, 117163, 117705, 118066, 118515, 118998, 119390, 120742, 122108, 123563, 124967, 125981, 126376, 126999, 127770, 127998, 128361, 129141, 129724, 130486, 131421, 131794, 132055, 132352, 133063, 133982, 134316, 135154, 135509, 136742, 137637, 137999, 138893, 139260, 140201, 140592, 141546, 141934, 142929, 143282, 144727, 146101, 147454, 148478, 148867]",0.5,0.375,0.9656862745098039,1.0,0.3,15.0,20.0,cityblock
2,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,N,2,"[1556, 1691, 1900, 2125, 2239, 3031, 3940, 4835, 6284, 7227, 7793, 9257, 10701, 11701, 12081, 13464, 14765, 16069, 17394, 17926, 18752, 19214, 20181, 21620, 23117, 24434, 24571, 24681, 24753, 25520, 25616, 25683, 26959, 27379, 28610, 28690, 28850, 30095, 30461, 31407, 31962, 32274, 32725, 33259, 33626, 34104, 35506, 35868, 36419, 36531, 36788, 36943, 37931, 38397, 40018, 40166, 40424, 40659, 40861, 41162, 41212, 41318, 41390, 41454, 42290, 42693, 43087, 43425, 44039, 44386, 44775, 45367, 46662, 47335, 47963, 48646, 48857, 49297, 49499, 50660, 52077, 52594, 53294, 53504, 54076, 54360, 54820, 54986, 55903, 56416, 57835, 58620, 58771, 59065, 59251, 59658, 59987, 60542, 61854, 62313, 62642, 62916, 63121, 63944, 64234, 64440, 65552, 65759, 65904, 66946, 67119, 67937, 68378, 68523, 69980, 71299, 71434, 72470, 72855, 74273, 75644, 76532, 76969, 77233, 78278, 79195, 79495, 79936, 80832, 81245, 81796, 82147, 83504, 83975, 84508, 84939, 86340, 86549, 86698, 86826, 87783, 89206, 90597, 90760, 91420, 91492, 91592, 93263, 93371, 95924, 96051, 96573, 97166, 97844, 98486, 99827, 101195, 102159, 102227, 102600, 104035, 105472, 106878, 108272, 109273, 109636, 109983, 110026, 110176, 110577, 110973, 111103, 111882, 112255, 113505, 114799, 115694, 115973, 116071, 116506, 117043, 117401, 117601, 118437, 118768, 119836, 120153, 121577, 123010, 124381, 125762, 126712, 126948, 127916, 128274, 128493, 129592, 129819, 131059, 131801, 131880, 132084, 132282, 133300, 133468, 133665, 134736, 135859, 135936, 136007, 137166, 137278, 138563, 139545, 139866, 139965, 140880, 141307, 142747, 143223, 144141, 144416, 145502, 146495]",0.75,0.25,0.9642857142857143,1.0,0.3,15.0,20.0,cityblock
3,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,N,3,"[1516, 1689, 1855, 2003, 4325, 4466, 4528, 4830, 5997, 6303, 6613, 7293, 7487, 7801, 8608, 8718, 9246, 11028, 11296, 11417, 11539, 11707, 12032, 13336, 13662, 14193, 14607, 15484, 15938, 15988, 16829, 17007, 17327, 17667, 18692, 19017, 19213, 20171, 21103, 22411, 22566, 23099, 24592, 24703, 24778, 25421, 25520, 25664, 25987, 28669, 28965, 30226, 30371, 30521, 31894, 32151, 33617, 35399, 36492, 36597, 36873, 38391, 40165, 40410, 40779, 40857, 40945, 41210, 41311, 42644, 43023, 43373, 44403, 44659, 45963, 46052, 46598, 46836, 48415, 48591, 48809, 49522, 50618, 51132, 52060, 52654, 52955, 53510, 55236, 55525, 55629, 55855, 56247, 56367, 58688, 59047, 59184, 59470, 59899, 60048, 60128, 61491, 62445, 62590, 62813, 63819, 65372, 65517, 65659, 66574, 67051, 68345, 69448, 69658, 69920, 70965, 71074, 71320, 71617, 71692, 72318, 72483, 74131, 76126, 76254, 76562, 77151, 77629, 77936, 79064, 79325, 80193, 80549, 80684, 81535, 81743, 82055, 83418, 83580, 83954, 84347, 84547, 85002, 86359, 86443, 86533, 86600, 86724, 86848, 87925, 88640, 89113, 89362, 90740, 90909, 91201, 91452, 91794, 93167, 95744, 96078, 96508, 96688, 98337, 99750, 101148, 101534, 102060, 102258, 102540, 104100, 104343, 104386, 104663, 104897, 105421, 106310, 106811, 107711, 108008, 108178, 108257, 109228, 109451, 109688, 109786, 109889, 110071, 110445, 111038, 112879, 113020, 113330, 114924, 115465, 115588, 115936, 116214, 116812, 116994, 117543, 118672, 119619, 119811, 120200, 121866, 122938, 123825, 124313, 124604, 124958, 125221, 125686, 126835, 126957, 127846, 128155, 129474, 130584, 131150, 131614, 131899, 133168, 133489, 134436, 135541, 135725, 137144, 138009, 138182, 138516, 139849, 139959, 140693, 140795, 140889, 142161, 142637, 143198, 144944, 145031, 145117, 145246]",0.75,0.625,0.9547325102880658,1.0,0.3,15.0,20.0,cityblock
4,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,S,0,"[4801, 6238, 7097, 8591, 9017, 9269, 9407, 10012, 11507, 13276, 13352, 13478, 14435, 14900, 16163, 16306, 16655, 17634, 17959, 18741, 19816, 20514, 20718, 20940, 21157, 21897, 22636, 22887, 23373, 25508, 25970, 26079, 26812, 26946, 27284, 28901, 29021, 29291, 29409, 29682, 29922, 30193, 31663, 31811, 32531, 32943, 35190, 35670, 36889, 37531, 38006, 39876, 40548, 40609, 41041, 41126, 41515, 43077, 43516, 43597, 43741, 44020, 44288, 46852, 46982, 47087, 47518, 48279, 48772, 49078, 49120, 50865, 51550, 51598, 51675, 52323, 52842, 52892, 53468, 53780, 53925, 54891, 55229, 56305, 56859, 57262, 57332, 57768, 59865, 60326, 60402, 60611, 62450, 62918, 63160, 63441, 64212, 65121, 65547, 67253, 69052, 69174, 69436, 69822, 69906, 71411, 71675, 72343, 74487, 74564, 75062, 76497, 76661, 76872, 77011, 77391, 78625, 79981, 81294, 82255, 82575, 83127, 85062, 85199, 85538, 86286, 86473, 86757, 86920, 87510, 87847, 89266, 89396, 90712, 90909, 93199, 93589, 93744, 95009, 96391, 96739, 98721, 99237, 99567, 100134, 100278, 100661, 100919, 101628, 101680, 102574, 103085, 104394, 104893, 105149, 105316, 105719, 106347, 109590, 110070, 110996, 112072, 113062, 113342, 113443, 115695, 115952, 116948, 117319, 117821, 118951, 119492, 119667, 121248, 123088, 124771, 124885, 127066, 127401, 127652, 127767, 128025, 128110, 129730, 130763, 131526, 131655, 132183, 132288, 132427, 132573, 133484, 133535, 134077, 134148, 134254, 134679, 136930, 139208, 139594, 141707, 141998, 144485, 145077, 145433, 146906, 147157, 147697, 147816, 147958, 148702, 148831, 149158]",1.0,0.25,0.9530516431924883,1.0,0.3,15.0,20.0,cityblock
5,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,S,1,"[3462, 4072, 5420, 6806, 8232, 9716, 11186, 12648, 14065, 15448, 16765, 18059, 19355, 20633, 20735, 21126, 22116, 23561, 23678, 25036, 25575, 26526, 28015, 28365, 29308, 29410, 30775, 32095, 33391, 34700, 36068, 36580, 37443, 38053, 38881, 40321, 40632, 40757, 41381, 41797, 43242, 44661, 46023, 47370, 48651, 49950, 51261, 52634, 53627, 54002, 55466, 56475, 56931, 57384, 57747, 57814, 57968, 58377, 59802, 61182, 62538, 63840, 65128, 66417, 67737, 69062, 70483, 71876, 72388, 73372, 74824, 76236, 76370, 77607, 78572, 78959, 81534, 82817, 84131, 85456, 86463, 86853, 88276, 89729, 90767, 91172, 92589, 93972, 94957, 95351, 96646, 97921, 99191, 100939, 101755, 103164, 104563, 105985, 106420, 107429, 108856, 110244, 111624, 112962, 114244, 115519, 116397, 116777, 118074, 119375, 121731, 122122, 123129, 123542, 124963, 126366, 127783, 129138, 130072, 130478, 131791, 133064, 134301, 135520, 136744, 137990, 139289, 139387, 139509, 140597, 141934, 143207, 143337, 144707, 146109, 147484, 148884]",0.875,0.375,0.927007299270073,1.0,0.3,15.0,20.0,cityblock
6,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,S,2,"[1644, 2110, 2353, 3038, 3263, 3472, 4423, 4867, 5847, 6311, 7320, 8799, 9219, 10259, 10716, 11673, 12123, 13048, 13485, 14367, 14787, 15669, 16085, 16989, 17415, 18337, 18775, 19727, 20183, 21156, 21614, 22639, 23063, 23285, 24123, 24571, 25580, 26057, 27009, 27087, 27446, 28702, 28834, 29361, 29577, 29703, 29810, 30085, 30998, 31415, 32290, 32714, 33662, 35045, 35450, 36467, 36924, 37930, 38048, 38420, 39408, 39877, 40841, 41208, 41301, 42264, 42699, 43639, 44031, 45390, 46255, 46669, 47544, 47972, 48867, 49292, 50228, 50665, 51615, 52073, 53058, 53520, 54518, 54982, 55970, 56430, 57411, 57843, 58793, 59229, 60157, 60567, 61452, 61853, 62719, 63121, 63888, 63988, 64431, 65332, 65761, 66689, 67125, 68082, 68532, 69511, 69975, 70974, 72424, 72871, 73833, 74270, 75218, 75645, 76574, 76943, 77861, 78264, 79135, 79537, 80414, 80829, 81727, 82123, 83065, 83510, 84453, 84894, 85871, 86329, 87329, 87788, 88767, 89221, 90182, 90583, 91587, 91997, 92928, 93352, 93502, 94243, 94657, 95527, 95923, 96102, 96787, 97200, 98082, 98498, 99399, 100761, 101196, 102153, 102548, 103587, 104011, 105024, 105435, 106442, 107843, 108280, 109211, 109589, 110550, 111845, 112248, 113120, 113509, 114376, 114779, 115662, 116073, 116978, 117405, 118328, 118764, 119711, 120157, 121133, 121587, 122559, 123005, 123141, 123961, 124411, 125363, 125795, 126725, 127170, 128066, 128502, 129395, 129794, 130668, 131063, 131901, 132281, 133111, 133498, 134325, 134730, 135587, 135989, 136864, 137280, 138183, 138610, 139393, 139527, 139973, 140918, 141361, 142304, 142641, 142744, 143687, 144130, 145073, 145516, 146463]",0.625,0.25,0.9683257918552036,1.0,0.3,15.0,20.0,cityblock
7,2877fdf0-1ea4-4f35-b4c9-b62ff445bf8d,5,Ritorno,A,2,X,S,3,"[2301, 3259, 4973, 5142, 5187, 6569, 6871, 7044, 7103, 7254, 7866, 9207, 9343, 9896, 10765, 11717, 12108, 13719, 14245, 14336, 14541, 14726, 15900, 16064, 16190, 17016, 17432, 17707, 18513, 18552, 18649, 18829, 19685, 19835, 19918, 19973, 20252, 20496, 20708, 20855, 21194, 21507, 21769, 22251, 23098, 23208, 23357, 23593, 24697, 25516, 25661, 26235, 27048, 28601, 28677, 28869, 29258, 29331, 29388, 29485, 29575, 29700, 30026, 31028, 31344, 31905, 32024, 32132, 32261, 32340, 33872, 34665, 35091, 35478, 35605, 36186, 36566, 36952, 37092, 37392, 37646, 38177, 39803, 40041, 40262, 40382, 41537, 41651, 42195, 42361, 43536, 43988, 44140, 44320, 46599, 46682, 46758, 46907, 47375, 47583, 48726, 49360, 49516, 50312, 50659, 50905, 51584, 51896, 52154, 52299, 53538, 53629, 53857, 54026, 54095, 54672, 54891, 55384, 56507, 56960, 57355, 57779, 57932, 59110, 59179, 60115, 60478, 62529, 63831, 65209, 66677, 66746, 67107, 68486, 68659, 70089, 71507, 71680, 72428, 74111, 74287, 75053, 75653, 76243, 76492, 76639, 77155, 78073, 78148, 78259, 78608, 79200, 79463, 79567, 80904, 81487, 83027, 83333, 83507, 84974, 85206, 86382, 86469, 86582, 86997, 88032, 88394, 88473, 89124, 89245, 89330, 89502, 90762, 91209, 91888, 92180, 93139, 93308, 93413, 93524, 94430, 94679, 95910, 96313, 97762, 98475, 98752, 99205, 99276, 99343, 99830, 100055, 100735, 100995, 101541, 101623, 101780, 102347, 102676, 102920, 103990, 104098, 105657, 105734, 106391, 106922, 107645, 107929, 108147, 108268, 108815, 109229, 109469, 109655, 109858, 110016, 110435, 111730, 112032, 112148, 112226, 113044, 113857, 114598, 115283, 115562, 115842, 116833, 116983, 117157, 117370, 117698, 118029, 118614, 119096, 119805, 119878, 120072, 120201, 121257, 121629, 122280, 122895, 123184, 124461, 124858, 126407, 126821, 127809, 128131, 128454, 129337, 129866, 130502, 130935, 131415, 132861, 132931, 132981, 133263, 133624, 133905, 134601, 134822, 135179, 135444, 135826, 136486, 136685, 136842, 137227, 137512, 137832, 138633, 139282, 141101, 141264, 141365, 141610, 141895, 142190, 142304, 142745, 143074, 143153, 145182, 145329, 145395]",0.875,0.5,0.9618055555555556,1.0,0.3,15.0,20.0,cityblock
8,0c8d2616-0544-45fd-87dc-ccd7360f3537,5,Ritorno,A,1,X,N,0,"[4722, 5177, 7638, 7710, 8068, 8256, 10184, 12100, 12236, 12349, 12734, 12792, 13737, 14498, 14620, 15142, 16287, 16491, 16655, 16728, 17199, 18334, 18833, 18894, 19897, 20004, 20133, 20230, 20631, 21160, 21279, 22171, 23208, 23870, 24201, 24284, 24903, 25088, 27395, 28041, 28102, 28268, 28333, 28474, 29597, 31100, 33676, 33951, 34117, 34431, 35237, 35347, 37299, 37711, 38151, 43234, 43318, 43428, 44066, 44226, 44631, 48018, 49683, 50387, 50487, 50715, 50961, 51105, 51429, 53836, 53955, 54309, 54434, 54604, 55173, 56931, 58037, 58104, 59423, 59721, 60136, 60620, 62469, 62861, 63058, 63152, 63488, 63612, 63837, 65182, 65570, 66190, 66492, 67601, 67832, 69196, 70544, 70893, 71190, 71308, 72156, 74323, 74516, 77519, 77656, 77899, 78930, 79310, 79907, 80293, 81631, 81825, 81941, 82066, 83106, 85787, 86074, 87020, 88384, 91385, 91572, 91971, 92189, 93309, 93635, 95330, 96353, 96494, 96957, 97317, 98287, 98630, 98914, 99523, 100919, 101668, 101760, 103299, 103738, 104027, 104942, 105148, 105338, 105554, 106144, 106984, 108358, 108949, 110349, 111150, 112521, 113106, 115330, 117320, 118478, 118642, 119767, 120333, 120527, 122313, 123697, 125075, 126964, 127516, 127635, 127778, 129233, 129571, 132782, 133757, 134462, 135081, 135638, 136134, 136969, 137140, 138893, 139449, 140380, 140419, 140682, 141961, 143263, 143818, 144468, 144689, 145112, 145196, 146160, 147398, 147561, 148584, 148725, 148980]",0.8888888888888888,0.4444444444444444,0.9381443298969072,1.0,0.3,15.0,20.0,cityblock
9,0c8d2616-0544-45fd-87dc-ccd7360f3537,5,Ritorno,A,1,X,N,1,"[3457, 3993, 4082, 4531, 5080, 5472, 7896, 8310, 9303, 9700, 10197, 11090, 12445, 13764, 14208, 14702, 15083, 15963, 16326, 17186, 17534, 18693, 19098, 19499, 19659, 19793, 20578, 20877, 21633, 21927, 22955, 23992, 24786, 27174, 27902, 28232, 29305, 30095, 30379, 30783, 30852, 31486, 32290, 32587, 33389, 33731, 34519, 34823, 37019, 37362, 37733, 37899, 41735, 42621, 42951, 44166, 46298, 46662, 47973, 48871, 49260, 50608, 51060, 51867, 51977, 53288, 53388, 54387, 55177, 55216, 57131, 57524, 57644, 58298, 58523, 58925, 59173, 59390, 60239, 61650, 62440, 62588, 62836, 62976, 63916, 64314, 64764, 65109, 65248, 65496, 65620, 66556, 66943, 67502, 67776, 68262, 69203, 69593, 70521, 70947, 71886, 72262, 72776, 73274, 73684, 74665, 74957, 75055, 76452, 76873, 77428, 77641, 77835, 78820, 79022, 79157, 80272, 80592, 81574, 81834, 82015, 83097, 84733, 85690, 86568, 87085, 87368, 87497, 88383, 91183, 91491, 91597, 92844, 92958, 93266, 93899, 94298, 95262, 95656, 96914, 97891, 98281, 99208, 99593, 100923, 102254, 103216, 104002, 104577, 104979, 105142, 105550, 106153, 106365, 107337, 108888, 109126, 110113, 110506, 111118, 111495, 111896, 112526, 113076, 113281, 114253, 114647, 116046, 117262, 117389, 118793, 119765, 120174, 121138, 121539, 122301, 122898, 123287, 123666, 125088, 125262, 125662, 126075, 126639, 127043, 127786, 128408, 129211, 129383, 129590, 129775, 131149, 132504, 132975, 133880, 134832, 135239, 135714, 136177, 136590, 137070, 137844, 137953, 138890, 139366, 140676, 141645, 142987, 143407, 144371, 144654, 144767, 146585, 147103, 147497, 148456, 148888, 148960]",0.6666666666666666,0.2222222222222222,0.963302752293578,1.0,0.3,15.0,20.0,cityblock
